scan_id,solution_num,rows,relative_path,size_bytes,sha256
109119,1,6881,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109119_solution_1.npz,383619,6847cd6e72b79079b292f3d008e9145f15fcb3d6a27ae1ce852be4ab2d6e60e5
109120,1,3340,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109120_solution_1.npz,194403,92cc3cd7bf712b0695de7655b6af6fb5def084d6adaa98ad806fae4d99becf6c
109189,1,3858,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109189_solution_1.npz,222547,d9410612f66f33efcb7ff20ff13f70964aa6d9717a00b2ab14da03346f4135ff
109197,1,4417,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109197_solution_1.npz,262780,d2e15c4963134141e162dcdefcb2f5545d857b40d577a99a58a766cce15974c9
109228,1,4664,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109228_solution_1.npz,265792,ed33f6dfe4088f79c9b0a1f1a4d6d59dfe83b8efd8198ee1ffc7d312671a467b
109229,1,817,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109229_solution_1.npz,53080,0533ecf412cfae505e804ffb9b6a7432b2a8e413fb7a0b5f9679a27f6426ff8a
109239,1,2617,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109239_solution_1.npz,156636,65b8a30eb9f105d95a1e9df5187e586577e543becf71955732c71a971df838c6
109256,1,4219,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109256_solution_1.npz,242320,6d2ac29624431858184bf3647eaca4dd08b0d3655b58ce70a182eb4f78f13ec5
109257,1,4612,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109257_solution_1.npz,264126,0508be46a5c4dbf985a0eeddb3b88920324d74a81cfae8bf20487a428f5cdaf7
109258,1,3189,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109258_solution_1.npz,187976,751fe32fc19510e62166dbc00f43a8afca73760bbef8a6d485e30bd74730c775
109259,1,3256,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109259_solution_1.npz,188248,febc7d8cb1e273f2003c0846974cb04150ba5ca22cfe7d6862147833f3966734
109260,1,3519,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109260_solution_1.npz,202503,d480daaf7fdb6e16948cd44c03fb7dc2ce708e7f800fd0f3d8a89bbcdf973370
109273,1,4054,work/applause_dr4_corrected_le5min_blind_source_state_census_v094i/hq_scan_solution_npz/scan_109273_solution_1.npz,236095,cd640e10f22279faec86c43d9d9ce62767d984b6c5d2d86ad62699ecb75db74b
