canonical_pair,direction,endpoint_a,endpoint_b,pair_index,position_angle_deg_east_of_north,primary_corrected_le3,primary_loo_crosses_gt3,primary_loo_robust_corrected_le3,primary_raw_gt3_to_corrected_le3,primary_raw_le3_to_corrected_gt3,primary_raw_le3_to_corrected_le3,primary_registered,primary_window_10arcmin,primary_window_20arcmin,primary_window_30arcmin,primary_window_5arcmin,raw_control_le10_associations,raw_control_le3_associations,shift_radius_arcsec,sparse_diagnostic_corrected_le3,sparse_diagnostic_registered,unregistered
APPLAUSE:12568 | APPLAUSE:139012,NW,APPLAUSE:12568,APPLAUSE:139012,7,315.0,49,30,19,16,24,33,563,86,120,105,252,572,59,120.0,2,9,0
APPLAUSE:12568 | APPLAUSE:139012,S,APPLAUSE:12568,APPLAUSE:139012,7,180.0,44,28,16,18,14,26,480,87,116,80,197,487,40,120.0,0,7,0
APPLAUSE:12568 | APPLAUSE:139012,SE,APPLAUSE:12568,APPLAUSE:139012,7,135.0,48,28,20,22,18,26,546,101,114,93,238,550,44,120.0,0,4,0
APPLAUSE:12568 | APPLAUSE:139012,SW,APPLAUSE:12568,APPLAUSE:139012,7,225.0,51,34,17,25,14,26,615,93,114,69,339,623,40,120.0,0,8,0
APPLAUSE:12568 | APPLAUSE:139012,W,APPLAUSE:12568,APPLAUSE:139012,7,270.0,50,32,18,22,25,28,635,93,143,93,306,641,53,120.0,2,6,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,E,DASCH:bi05459:exp0,APPLAUSE:12469,8,90.0,1,1,0,0,1,1,13,0,9,4,0,73,7,60.0,7,60,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,N,DASCH:bi05459:exp0,APPLAUSE:12469,8,0.0,0,0,0,0,1,0,22,1,16,5,0,72,5,60.0,4,50,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,NE,DASCH:bi05459:exp0,APPLAUSE:12469,8,45.0,2,2,0,2,0,0,13,0,9,4,0,75,2,60.0,3,62,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,NW,DASCH:bi05459:exp0,APPLAUSE:12469,8,315.0,2,2,0,2,1,0,14,0,10,4,0,62,5,60.0,5,48,0
APPLAUSE:12469 | DASCH:ivo://org.gavo.dc/~?dasch/q/bi05459,S,DASCH:bi05459:exp0,APPLAUSE:12469,8,180.0,0,0,0,0,1,0,9,0,6,3,0,61,6,60.0,6,52,0
