raw_match_row,population,target_ra_deg,target_dec_deg,eligible_physical_plate_count,raw_source_calib_rows_in_15arcsec,eligible_source_calib_rows_in_15arcsec,physical_plates_with_any_source_within_15arcsec,strict_physical_plate_recurrence_count,diagnostic_physical_plate_recurrence_count,wide_5_to_15_physical_plate_context_count,best_eligible_separation_arcsec,distinct_nonnull_gaiaedr3_ids_on_strict_plates,gaiaedr3_ids_repeated_on_2plus_strict_plates,catalog_recurrence_class,candidate_disposition_changed
293627,PRIMARY_424,86.03036526677855,7.398326715744401,857,507,507,266,243,8,15,0.2679841933363557,1,3333658374257824256:226,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293628,DIAGNOSTIC_179,84.18366135043844,11.83005254980536,743,22,22,17,1,5,10,2.194074819043385,1,,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,False
293629,PRIMARY_424,85.64634605786262,8.250047053703364,901,778,778,390,9,356,25,1.2904885563093462,1,3333786737945249664:8,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293630,PRIMARY_424,84.74423264811287,8.631479932229045,857,559,559,290,84,183,23,1.4819207098350105,1,3334598353620547840:79,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293634,DIAGNOSTIC_179,84.99492695917323,8.392140720482281,900,726,726,369,15,319,34,1.4682281623343838,1,3334576324730706816:13,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293637,PRIMARY_424,86.34608810613173,10.067822471996067,921,1118,1118,573,505,22,46,0.07763464747174283,1,3336320081453488256:494,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293638,DIAGNOSTIC_179,85.57571908599388,8.694814922900237,904,716,716,372,33,312,26,2.1547848545732373,1,3336064204481288704:32,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293640,DIAGNOSTIC_179,86.85453610275985,8.841936094086591,900,497,497,266,4,248,14,2.306581782632416,1,3335411781770458240:4,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293642,PRIMARY_424,85.44682610074638,10.939667324623535,919,733,733,384,32,329,23,0.47969595793257924,1,3339623534076231936:30,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293644,PRIMARY_424,84.74376546576832,10.531265596760589,881,984,984,503,180,277,46,0.47075044246390013,1,3339630367366724992:174,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293646,PRIMARY_424,85.28861258952112,8.84846017356823,906,878,878,443,3,201,239,2.194092041589072,1,3336117702593924224:2,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293649,DIAGNOSTIC_179,85.54045493648871,10.667070878398693,918,991,991,481,291,159,30,0.4795777819608579,1,3339598176589607040:285,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293650,PRIMARY_424,86.64079884805838,7.5083000834610765,864,711,711,360,328,15,17,0.5901843705252988,1,3333488632853427968:323,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293652,PRIMARY_424,83.8606454714364,8.919276085546628,687,383,383,214,73,77,64,0.6517740001165094,1,3334863645160463616:70,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293653,DIAGNOSTIC_179,86.56378368021352,10.758668838026061,907,963,963,474,9,406,59,0.9614476912969144,1,3336943130886637440:6,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293658,PRIMARY_424,85.9787919371108,7.406020338697312,857,1022,1022,520,454,34,31,0.3251033725267842,1,3333658511696780544:451,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293663,DIAGNOSTIC_179,86.25407505562426,10.512908051089987,912,1069,1069,561,155,362,44,0.8672794576233592,1,3336908869931830528:92,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293664,DIAGNOSTIC_179,85.00404822089996,7.204596455700512,856,594,594,312,12,260,40,2.4124921890166466,1,3333591196673770752:7,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293668,PRIMARY_424,86.17588238303688,7.785315789089508,878,721,721,371,266,83,22,0.34529646264132097,1,3333698777012802688:264,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293670,PRIMARY_424,84.91122139536787,8.847924530789616,898,1070,1070,539,14,454,71,1.8394809972892747,1,3334818771342228352:13,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293672,PRIMARY_424,83.94965995096524,11.810651910414478,738,254,254,122,0,68,54,3.091873870839642,0,,DIAGNOSTIC_RECURRENCE_ONLY,False
293674,DIAGNOSTIC_179,84.39488240307381,10.483475227306268,778,870,870,433,56,329,47,0.5913437201950972,1,3339533374122690944:43,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293679,PRIMARY_424,86.72387214035062,9.376183644148854,907,541,541,294,3,226,64,2.010860036815062,0,,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293680,PRIMARY_424,86.43717609250183,8.526058033544752,893,824,824,424,149,252,22,0.562029224278153,1,3335307607340118528:148,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293683,PRIMARY_424,85.97398476532558,7.625243231504228,869,915,915,465,423,16,26,1.1874465085814683,1,3333689847777980672:420,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293691,PRIMARY_424,85.09365949938861,8.284845764116085,899,1078,1078,549,7,469,73,0.774018813243232,1,3334526537469818240:6,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293702,DIAGNOSTIC_179,83.99908230846326,8.17658594679628,736,261,261,149,21,113,15,2.015132982969127,1,3334670577790501248:19,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293703,PRIMARY_424,85.41460450333568,8.713319116473492,904,1029,1029,519,33,459,25,1.0389990732201935,1,3336112071894926208:32,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293707,PRIMARY_424,85.29072227994628,10.765698065765008,916,1109,1109,560,22,472,66,0.4815828295927845,1,3339614463105367296:19,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293710,PRIMARY_424,84.89085240166918,12.005570486121314,752,18,18,16,1,1,14,2.370832156635015,0,,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,False
293716,DIAGNOSTIC_179,84.88927682287611,7.709100840293121,875,905,905,461,16,410,34,0.5530489199709374,1,3334397830187572736:13,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293718,DIAGNOSTIC_179,84.57058421696294,11.041109093812512,797,476,476,256,4,154,98,2.1837752027178325,1,3339851059967530624:2,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293720,DIAGNOSTIC_179,86.67873395077157,9.645634196489008,920,704,704,359,51,296,12,1.9591760679295187,1,3336241775610021760:49,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293721,DIAGNOSTIC_179,86.52996976257846,8.280667388847755,900,684,684,379,7,317,54,0.3269144666721315,0,,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293729,DIAGNOSTIC_179,83.98395587614999,8.272881680664689,737,443,443,236,12,214,10,2.295268505725529,1,3334676174130626560:10,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293735,DIAGNOSTIC_179,84.30515373491657,8.344419068114613,748,727,727,352,8,309,35,1.0738122910119658,1,3334680366018462080:6,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293737,DIAGNOSTIC_179,83.91900025717548,11.77104811128374,737,263,263,170,24,81,65,1.0867286019718778,1,3340698783431293568:8,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293738,PRIMARY_424,86.44620412766689,9.343989046608824,908,1026,1026,513,476,7,27,0.23936500023752888,1,3336209653552064128:463,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293739,PRIMARY_424,86.39094768449549,6.936161808764477,824,601,601,312,276,7,28,0.045276736189608244,1,3333389337506204800:267,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293747,PRIMARY_424,84.57151728738536,11.20139238767373,795,281,281,153,5,126,22,2.517988538844799,1,3339857657037293184:4,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293752,PRIMARY_424,84.85978340619455,7.839081256221125,883,780,780,408,33,336,39,1.3855870383402598,1,3334404289818376576:31,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293760,PRIMARY_424,85.40212377209566,8.831618766380041,907,929,929,468,5,425,38,1.174375007444603,1,3336116882258273408:3,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293764,PRIMARY_424,85.55380657297084,10.818827046986115,919,1121,1121,570,69,436,64,0.7889660132666702,1,3339609270488361984:46,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293765,PRIMARY_424,85.67133900011382,8.653220244509873,903,1033,1033,512,4,430,78,2.0025910811428504,1,3336061597439451648:3,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293769,PRIMARY_424,84.61709034054307,8.678386467146202,789,666,666,341,32,281,28,2.276344123670917,1,3334787022944046336:29,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293774,DIAGNOSTIC_179,84.68969743244254,8.833477123420531,850,691,691,355,3,305,47,2.6043188871216767,1,,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293775,PRIMARY_424,86.42502734540159,8.117354311706961,890,939,939,467,204,243,20,0.408798376493332,1,3335218611320156800:201,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293777,PRIMARY_424,85.8695390804075,10.957649910578048,919,847,847,424,28,359,37,0.8991116495572002,2,3339985166026571776:17,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293778,DIAGNOSTIC_179,85.5896531762133,10.938931951889138,919,993,993,492,49,393,50,1.4094055218517085,1,3339612573319670400:36,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293783,PRIMARY_424,84.43857310708638,7.570807243341817,740,754,754,368,11,315,41,2.1901531697795846,1,3334379756965074304:11,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293784,PRIMARY_424,83.86690661891188,8.472712931486656,683,381,381,206,13,148,45,0.605394848720554,1,3334694350432933760:12,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293790,PRIMARY_424,84.26461706950275,8.401119773558866,746,401,401,212,4,194,14,1.3685083845570416,1,3334681572906729216:3,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293791,DIAGNOSTIC_179,86.46320926725986,6.91545925225897,823,1063,1063,532,471,19,42,0.09337832866397262,1,3333394074854422912:452,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293792,PRIMARY_424,84.33333537676734,10.755379807030277,776,679,679,345,7,144,194,0.7632275689622057,1,3339559277068027904:6,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293794,DIAGNOSTIC_179,84.39020694715404,11.762249822404792,744,588,588,314,5,240,69,2.5011052276441057,1,3339973488011908480:4,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293797,DIAGNOSTIC_179,84.3988344706157,8.110145016298612,753,359,359,192,50,135,7,1.1500261419901363,1,3334484652948725120:49,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293799,PRIMARY_424,83.97231473868169,11.566650291968342,739,687,687,364,9,230,124,0.8200944880008889,1,3339943354521269760:5,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293805,PRIMARY_424,86.7925034946806,8.266566097862615,898,806,806,399,8,371,20,1.1982370728747207,1,3335237646615206784:7,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293807,PRIMARY_424,86.37639709482278,9.86721592122992,925,821,821,418,402,4,12,0.1944634744524061,1,3336307883746634240:396,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293810,PRIMARY_424,84.14745067686525,10.742797635237403,773,544,544,285,3,215,66,1.605750418717741,2,,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293811,DIAGNOSTIC_179,86.30234802872472,10.010054400164279,921,619,619,325,286,34,5,0.5465971705086609,1,3336313862340844288:270,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293812,PRIMARY_424,83.95093889831688,11.791075101408834,738,300,300,174,19,102,51,0.7002042473989804,1,3340722392870021888:10,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293814,PRIMARY_424,84.11096055237384,10.934272790030183,768,504,504,277,6,34,237,0.4066435594904039,1,3339764786960925440:3,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293816,DIAGNOSTIC_179,86.27722774358546,7.709898958109031,875,596,596,309,262,34,13,0.15858031328173933,1,3333694172807863296:259,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293819,PRIMARY_424,86.80546924954011,10.24544412032719,920,972,972,486,47,403,36,0.7787035738408319,1,3336701513206426240:46,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293826,PRIMARY_424,83.9613875293104,8.5024843263626,729,547,547,291,7,252,32,0.2653093328986476,1,3334700191588454656:5,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293827,PRIMARY_424,84.8669035938848,10.577083851834395,911,538,538,287,171,105,11,0.7220112496285782,1,3339585356110464768:161,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293829,PRIMARY_424,86.12660663137926,10.655966466540955,915,1109,1109,550,28,479,42,1.0999355916092188,1,3336961341548099712:27,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293833,PRIMARY_424,85.49620531694357,8.277157424208507,902,753,753,403,2,18,383,0.2779343628589641,1,,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293834,PRIMARY_424,85.0543104988119,8.676363359764057,896,822,822,433,22,379,32,1.1348440495128969,1,3334619343124564224:18,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293835,PRIMARY_424,83.9219432554352,8.202185801503116,723,537,537,293,36,212,45,0.21046765501995424,1,3334673945044865280:35,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293841,PRIMARY_424,85.89640504613965,6.892656008107053,829,16,16,12,0,1,11,4.856225593694534,0,,DIAGNOSTIC_RECURRENCE_ONLY,False
293842,PRIMARY_424,84.83950390277022,10.662285263427322,905,838,838,426,184,212,30,0.4696856448453474,1,3339633360961604352:172,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293845,DIAGNOSTIC_179,85.63947599713384,8.393898815449663,907,684,684,370,14,316,39,0.6927509053896773,1,3334540904138315648:12,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293858,DIAGNOSTIC_179,85.32914541882889,8.089424216546215,897,627,627,345,285,41,19,0.9422631527346973,1,3334505578030819328:284,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293867,DIAGNOSTIC_179,85.7435763589951,5.995864925096014,638,506,506,286,9,234,43,0.03713827038732537,1,3332851641958750592:3,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293879,PRIMARY_424,84.15965013793513,8.625536520318766,741,727,727,354,6,324,24,1.3854336249592343,1,3334793890595470336:6,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293880,DIAGNOSTIC_179,84.81077867856237,11.216868149713301,895,933,933,505,79,338,87,0.6646481261754253,1,3339878826933026432:36,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293887,DIAGNOSTIC_179,84.84550992866922,8.39104559687893,889,684,684,363,34,299,30,0.44322546902662746,1,3334577733479980288:26,STRICT_RECURRENCE_ON_2PLUS_PHYSICAL_PLATES,False
293892,PRIMARY_424,85.10466229733937,8.673399264337984,894,612,612,325,1,74,250,2.6237077536869426,1,,STRICT_RECURRENCE_ON_1_PHYSICAL_PLATE,False
